"","location_key","date","place_id","wikidata_id","country_code","country_name","subregion1_code","subregion1_name","iso_3166_1_alpha_2","iso_3166_1_alpha_3","aggregation_level","new_confirmed","new_deceased","cumulative_confirmed","cumulative_deceased","population","population_male","population_female","population_age_00_09","population_age_10_19","population_age_20_29","population_age_30_39","population_age_40_49","population_age_50_59","population_age_60_69","population_age_70_79","population_age_80_and_older","openstreetmap_id","latitude","longitude","elevation_m","area_sq_km","mobility_retail_and_recreation","mobility_grocery_and_pharmacy","mobility_parks","mobility_transit_stations","mobility_workplaces","mobility_residential","average_temperature_celsius","minimum_temperature_celsius","maximum_temperature_celsius","rainfall_mm","dew_point","relative_humidity","new_tested","cumulative_tested"
"1","ZA_EC",2020-01-01,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,20.061111,14.1,28.194444,0.1016,13.205556,65.786518,NA,NA
"2","ZA_EC",2020-01-02,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,22.5,15.661111,30.844444,0.0508,14.355556,61.333087,NA,NA
"3","ZA_EC",2020-01-03,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,22.8,17.116667,30.672222,0.5334,15.866667,67.817344,NA,NA
"4","ZA_EC",2020-01-04,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,23.444444,18.91358,33.123457,1.3716,14.272222,58.885042,NA,NA
"5","ZA_EC",2020-01-05,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,22.594444,16.827778,32.538889,1.0414,14.105556,61.082291,NA,NA
"6","ZA_EC",2020-01-06,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,21.772222,16.283333,31.272222,0.0762,14.177778,64.470328,NA,NA
"7","ZA_EC",2020-01-07,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,20.322222,16.944444,29.944444,5.2324,15.511111,74.718825,NA,NA
"8","ZA_EC",2020-01-08,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,20.111111,17.033333,27.772222,14.2748,16.666667,80.806204,NA,NA
"9","ZA_EC",2020-01-09,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,19.209877,15.876543,26.648148,8.438444,15.154321,77.55321,NA,NA
"10","ZA_EC",2020-01-10,"ChIJu5znKjRWYh4RkqxyqdKUajo","Q130840","ZA","South Africa","EC","Eastern Cape","ZA","ZAF",1,NA,NA,NA,NA,6676590,3286038,3600647,1485136,1451343,1002944,892226,729218,596513,428242,227247,73815,88574,-32,27,1125,168966,NA,NA,NA,NA,NA,NA,17.527778,14.472222,23.611111,5.715,14.361111,81.866569,NA,NA
